simple_sku,product_name,sale_price,discounted_price,Category lv2,Category lv3,picture_url,image_url_2,image_url_3,image_url_4,image_url_5,brand
2C195ELAA30ZRTVNAMZ-5266702,Màn Hình LCD Dell 17 inch Vuông - Bảo Hành 3 năm,2029000,1249000,Computer Accessories,Monitors,http://static.lazada.vn/p/2/image-9025805-d319fe0918a61df511da5dd93f26c348-product.jpg,http://static.lazada.vn/p/2/image-9025805-038faf74c8b8d687e3200e1f2779b71c-product.jpg,http://static.lazada.vn/p/2/image-9025805-9b0aa1909a8cbd513da2d5969e23df8f-product.jpg,,,2 Chic
2G003ELAA10PYBVNAMZ-1420002,Loa máy tính 2.1 2GOOD 135UBT (Đen),1850000,1250000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-1523171-bef4b40286df8971319e533afbed9eb7-product.jpg,http://static.lazada.vn/p/2/image-1523171-adb86d79bac2bd1d9e3a2bb1f3f9d9db-product.jpg,http://static.lazada.vn/p/2/image-1523171-aeae8e3b9555869dfa878ce8fd4e5a63-product.jpg,http://static.lazada.vn/p/2/image-1523171-65dfc4b25d55d60aa8443159c4e1a8cd-product.jpg,http://static.lazada.vn/p/2/image-1523171-afdceba8f4677087b4e009f2da012ec5-product.jpg,2GOOD
2G003ELAA10PYCVNAMZ-1420003,Loa máy tính 2.1 2GOOD 118UBT (Đen),1150000,950000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-2523171-bb4255481a65ce3b00c588ba0cd52814-product.jpg,http://static.lazada.vn/p/2/image-2523171-866f2b3692a48b71ad3d5af3d11e0e72-product.jpg,http://static.lazada.vn/p/2/image-2523171-9290fc0b793b22b47408c95a54b04b6c-product.jpg,http://static.lazada.vn/p/2/image-2523171-41db421b4e2d8a5f7da1406083c5b570-product.jpg,,2GOOD
2G003ELAA16CT1VNAMZ-1734106,Chuột dây 2Good G11 (Đen),160000,85000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-9416791-9f2d92cfa0a17bcf2339ad68c356b3f0-product.jpg,http://static.lazada.vn/p/2/image-9416791-4d3c8fd490f08e4f814787810a8f5b85-product.jpg,http://static.lazada.vn/p/2/image-9416791-5c37950e7969a691172a4864a15c8ad6-product.jpg,http://static.lazada.vn/p/2/image-9416791-029a79a6c1b52d6b43e048bb2971a343-product.jpg,http://static.lazada.vn/p/2/image-9416791-2df61ea7fa1aeb2f583f8e0a238c64be-product.jpg,2GOOD
2G003ELAA16DX2VNAMZ-1736264,Chuột quang có dây 2Good G5 (Đen phối xám),130000,65000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-0957791-00a762b7d9663d727b1cc8bd029f79ab-product.jpg,http://static.lazada.vn/p/2/image-0957791-907521480ff4f78e48ca1496ce4197b1-product.jpg,http://static.lazada.vn/p/2/image-0957791-7637eacdde84698aafb4d91b5e19302a-product.jpg,http://static.lazada.vn/p/2/image-0957791-d8858bd31a917220bc08e56c97d8c3e9-product.jpg,http://static.lazada.vn/p/2/image-0957791-8f96878b06ee5e20654def489330ff10-product.jpg,2GOOD
2G003ELAA17QZZVNAMZ-1810898,Bàn phím 2GOOD K29 (Đen),450000,315000,Computer Accessories,Keyboards,http://static.lazada.vn/p/2/image-9911402-ec0ef8ddb30058115232f507c39ca8cb-product.jpg,http://static.lazada.vn/p/2/image-9911402-d11a898ea4d03db777ffb028e4d36c24-product.jpg,,,,2GOOD
2G003ELAA19BWOVNAMZ-1901901,Chuột quang 2GOOD G6 (Xám),160000,90000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-2594112-5fae62bf56d2d6e5f1936f4c95ccebcb-product.jpg,http://static.lazada.vn/p/2/image-2594112-f4ca8dea6b4b698d9b465115e32943b7-product.jpg,,,,2GOOD
2G003ELAA1ATOZVNAMZ-1990887,Chuột quang 2GOOD G6 (Đỏ ),160000,90000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-9564812-3fe4db8cb4bf98e45e1d84b660cfdb6f-product.jpg,http://static.lazada.vn/p/2/image-9564812-ce6744d9eaf8e6345254b77a92b5e84b-product.jpg,http://static.lazada.vn/p/2/image-9564812-4ca1c6baf77d5774f9ae64ff01734c76-product.jpg,,,2GOOD
2G003ELAA1ATP0VNAMZ-1990888,Chuột quang có dây 2GOOD G10 (Đen phối xanh),150000,75000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-0664812-3e9fa608ee1c7f6e5e92daaab3a31895-product.jpg,http://static.lazada.vn/p/2/image-0664812-be27dcb2c2b86b5799a8722915144ea1-product.jpg,http://static.lazada.vn/p/2/image-0664812-d036dc53d6b857aea3aa897ab0812ac7-product.jpg,,,2GOOD
2G003ELAA1ATP1VNAMZ-1990889,Chuột quang có dây 2GOOD G10 ( Đen phối đỏ),150000,75000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-1664812-7cd4b7ab4ea933add5af7eeab34e79ca-product.jpg,http://static.lazada.vn/p/2/image-1664812-883f1a574c6582a560989f3ee46457c8-product.jpg,,,,2GOOD
2G003ELAA1ATP2VNAMZ-1990890,Chuột quang có dây 2GOOD G10 ( Đen phối xám),150000,75000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-2664812-2f3d7f755081ca60e161c025da2a52b9-product.jpg,http://static.lazada.vn/p/2/image-2664812-748b26efd39f8fe38632985b37b629e2-product.jpg,,,,2GOOD
2G003ELAA1BITNVNAMZ-2032846,Chuột quang 2GOOD G6 (Đỏ ),160000,90000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-7227122-8932e6ddcb79f8d96cc08a3d09842461-product.jpg,http://static.lazada.vn/p/2/image-7227122-0e34e2a7bb432172146f3f02b1d9f93d-product.jpg,http://static.lazada.vn/p/2/image-7227122-4ea81b0c9c63bfb97eff4fcd929a5ec4-product.jpg,,,2GOOD
2G003ELAA1BITOVNAMZ-2032847,Chuột quang có dây 2GOOD G10 (Đen phối xanh),150000,75000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-8227122-d09a861c1916c08a4bd1a97169dbca29-product.jpg,http://static.lazada.vn/p/2/image-8227122-51cbccd99319e5a86044b9e4da5cd17d-product.jpg,http://static.lazada.vn/p/2/image-8227122-c9e96b2eb2463902f23a3a42e78810d7-product.jpg,,,2GOOD
2G003ELAA1BITPVNAMZ-2032848,Chuột quang có dây 2GOOD G10 ( Đen phối đỏ),150000,75000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-9227122-4b70b24027fff51a6bf17d8ad1106b1f-product.jpg,http://static.lazada.vn/p/2/image-9227122-b8ad5a78de505e0818c28ac3fb53e6d5-product.jpg,,,,2GOOD
2G003ELAA1BITQVNAMZ-2032849,Chuột quang có dây 2GOOD G10 ( Đen phối xám),150000,75000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-0327122-3023f5eb9120d0a065b818edd3a9f751-product.jpg,http://static.lazada.vn/p/2/image-0327122-abc9803354e55bc4c6a9016c8eb35a6f-product.jpg,,,,2GOOD
2G003ELAA1BIUHVNAMZ-2032876,Loa máy tính 2.1 2GOOD 135UBT (Đen),1850000,1200000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-7527122-d89b111a715fa36f41d84cc2872c984f-product.jpg,http://static.lazada.vn/p/2/image-7527122-adb86d79bac2bd1d9e3a2bb1f3f9d9db-product.jpg,http://static.lazada.vn/p/2/image-7527122-aeae8e3b9555869dfa878ce8fd4e5a63-product.jpg,http://static.lazada.vn/p/2/image-7527122-65dfc4b25d55d60aa8443159c4e1a8cd-product.jpg,http://static.lazada.vn/p/2/image-7527122-afdceba8f4677087b4e009f2da012ec5-product.jpg,2GOOD
2G003ELAA1BIV1VNAMZ-2032896,Loa máy tính 2.1 2GOOD 118UBT (Đen),1150000,950000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-7727122-866f2b3692a48b71ad3d5af3d11e0e72-product.jpg,http://static.lazada.vn/p/2/image-7727122-bb4255481a65ce3b00c588ba0cd52814-product.jpg,http://static.lazada.vn/p/2/image-7727122-9290fc0b793b22b47408c95a54b04b6c-product.jpg,http://static.lazada.vn/p/2/image-7727122-41db421b4e2d8a5f7da1406083c5b570-product.jpg,http://static.lazada.vn/p/2/image-7727122-50ba8eab24369627370c1c6bde7fe762-product.jpg,2GOOD
2G003ELAA1BIW7VNAMZ-2032938,Chuột quang 2GOOD G6 (Xám),160000,90000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-9137122-b755c4f132a299040ba3ed1396e9e8ff-product.jpg,http://static.lazada.vn/p/2/image-9137122-93a2ebbc9b8fef5e705cec14c956ddd6-product.jpg,,,,2GOOD
2G003ELAA1BJ1ZVNAMZ-2033158,Chuột có dây 2GOOD G11 (Đen),160000,115000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-7257122-9f2d92cfa0a17bcf2339ad68c356b3f0-product.jpg,http://static.lazada.vn/p/2/image-7257122-4d3c8fd490f08e4f814787810a8f5b85-product.jpg,http://static.lazada.vn/p/2/image-7257122-5c37950e7969a691172a4864a15c8ad6-product.jpg,http://static.lazada.vn/p/2/image-7257122-029a79a6c1b52d6b43e048bb2971a343-product.jpg,http://static.lazada.vn/p/2/image-7257122-2df61ea7fa1aeb2f583f8e0a238c64be-product.jpg,2GOOD
2G003ELAA1BJ25VNAMZ-2033164,Chuột quang có dây 2GOOD G5 (Đen phối xám),130000,65000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-3357122-907521480ff4f78e48ca1496ce4197b1-product.jpg,http://static.lazada.vn/p/2/image-3357122-00a762b7d9663d727b1cc8bd029f79ab-product.jpg,http://static.lazada.vn/p/2/image-3357122-7637eacdde84698aafb4d91b5e19302a-product.jpg,http://static.lazada.vn/p/2/image-3357122-d8858bd31a917220bc08e56c97d8c3e9-product.jpg,http://static.lazada.vn/p/2/image-3357122-8f96878b06ee5e20654def489330ff10-product.jpg,2GOOD
